col_en,val_en,col_ar,val_ar
Age Group,0-1 years,الفئة العمرية,0-1 سنة
Age Group,0-4 years,الفئة العمرية,0-4 سنوات
Age Group,5-17 years,الفئة العمرية,5-17 سنة
Age Group,10-14 years,الفئة العمرية,10-14 سنة
Age Group,1-4 years,الفئة العمرية,1-4 سنوات
Age Group,15+ years,الفئة العمرية,15+ سنة
Age Group,15-19 years,الفئة العمرية,15-19 سنة
Age Group,15-24 years,الفئة العمرية,15-24 سنة
Age Group,15-64 years,الفئة العمرية,15-64 سنة
Age Group,20-24 years,الفئة العمرية,20-24 سنة
Age Group,25+ years,الفئة العمرية,25+ سنة
Age Group,25-29 years,الفئة العمرية,25-29 سنة
Age Group,30-34 years,الفئة العمرية,30-34 سنة
Age Group,35-39 years,الفئة العمرية,35-39 سنة
Age Group,40-44 years,الفئة العمرية,40-44 سنة
Age Group,45-49 years,الفئة العمرية,45-49 سنة
Age Group,50-54 years,الفئة العمرية,50-54 سنة
Age Group,55-59 years,الفئة العمرية,55-59 سنة
Age Group,5-9 years,الفئة العمرية,5-9 سنوات
Age Group,60-64 years,الفئة العمرية,60-64 سنة
Age Group,65-69 years,الفئة العمرية,65-69 سنة
Age Group,70-74 years,الفئة العمرية,70-74 سنة
Age Group,75+ years,الفئة العمرية,75+ سنة
Age Group,Age Total,الفئة العمرية,جميع الأعمار
Age Group,Age unknown,الفئة العمرية,العمر غير معروف
Area,Area Total,المنطقة,جميع المناطق
Area,Rural,المنطقة,ريف
Area,Urban,المنطقة,حضر
Causes of death,Certain infectious and parasitic diseases  ,سبب الوفاة,أمراض مُعْدِية و طفَيليَّة معينة
Causes of death,Neoplasms  ,سبب الوفاة,الأورام
Causes of death,"Endocrine, nutritional and metabolic diseases  ",سبب الوفاة,أمراض الغدد الصماء والتغذية والتمثيل الغذائي
Causes of death,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,سبب الوفاة,أمراض الدَّم وأعضاء تكوين الدم واضطرابات معينة تشمل اضطرابات المناعة
Causes of death,Mental and behavioural disorders  ,سبب الوفاة,الاضطرابات العقلية والسلوكية
Causes of death,Diseases of the nervous system  ,سبب الوفاة,أمراض الجِهَاز العَصَبي
Causes of death,Diseases of the eye and adnexa  ,سبب الوفاة,أمراض العين وملحقاتها
Causes of death,Diseases of the ear and mastoid process  ,سبب الوفاة,أمراض الأذن والنَّاتئ الخُشَّائي (الحَلَمي)
Causes of death,Diseases of the circulatory system  ,سبب الوفاة,أمراض الجِهاز الدَّوَري الدموي
Causes of death,Diseases of the respiratory system  ,سبب الوفاة,أمراض الجِهاز التنفسي
Causes of death,Diseases of the digestive system  ,سبب الوفاة,أمراض الجهاز الهَضْمي
Causes of death,Diseases of the genitourinary system  ,سبب الوفاة,أمراض الجِهَاز البَولي التَّناسُلي
Causes of death,"Pregnancy, childbirth and the puerperium  ",سبب الوفاة,مضاعفات الحَمْل أو الولادة أو النِّفاس
Causes of death,Diseases of the skin and subcutaneous tissue  ,سبب الوفاة,أَمرَاض الجِلد والنسيج تحت الجلد
